,x,y,time,theta
183.0,5.0,930.0,12.308638095855713,0.38105412075125206
184.0,5.0,930.0,12.34155559539795,0.38105412075125206
185.0,5.5,912.5,12.399688243865967,0.36918179641388954
186.0,5.5,912.5,12.422627925872803,0.36918179641388954
187.0,5.5,1024.0,12.499731302261353,0.4439621138115652
188.0,5.5,1024.0,12.535562753677368,0.4439621138115652
189.0,5.5,937.0,12.612446784973145,0.3857891539577754
190.0,5.5,937.0,12.650369644165039,0.3857891539577754
191.0,8.0,976.0,12.703197717666626,0.41202288328873765
192.0,8.0,976.0,12.727133512496948,0.41202288328873765
193.0,10.38524580001831,918.5000610351562,12.801933288574219,0.3732579192691013
194.0,10.38524580001831,918.5000610351562,12.831854104995728,0.3732579192691013
195.0,5.5,865.5,12.895681858062744,0.33705411121468926
196.0,5.5,865.5,12.918620109558105,0.33705411121468926
197.0,5.5,906.5,13.00820803642273,0.3650999305865024
198.0,5.5,906.5,13.030127763748169,0.3650999305865024
199.0,5.5,854.5,13.119077444076538,0.32948477055242603
200.0,5.5,854.5,13.142014741897583,0.32948477055242603
201.0,5.5,916.0,13.232236862182617,0.3715602149269224
202.0,5.5,916.0,13.256171703338623,0.3715602149269224
203.0,5.5,987.5,13.34428334236145,0.4197103202562596
204.0,5.5,987.5,13.369215965270996,0.4197103202562596
205.0,1166.0,798.0,13.439581871032715,0.29031450424801314
206.0,1166.0,798.0,13.46351957321167,0.29031450424801314
207.0,5.5,882.5,13.551208257675171,0.3487150621351485
208.0,5.5,882.5,13.575185298919678,0.3487150621351485
209.0,5.5,920.0,13.66461992263794,0.37427599185084287
210.0,5.5,920.0,13.688554525375366,0.37427599185084287
211.0,5.5,921.5,13.775850057601929,0.3752937426631204
212.0,5.5,921.5,13.798787355422974,0.3752937426631204
213.0,5.5,935.5,13.871594905853271,0.38477517554303925
214.0,5.5,935.5,13.894531726837158,0.38477517554303925
215.0,5.5,1000.5,13.984962701797485,0.4283737632396864
216.0,5.5,1000.5,14.016876697540283,0.4283737632396864
217.0,1150.0,792.5,14.095665454864502,0.2864759008404492
218.0,1150.0,792.5,14.123589992523193,0.2864759008404492
219.0,10.727272510528564,566.0,14.208364963531494,0.1247870719730555
220.0,10.727272510528564,566.0,14.23628830909729,0.1247870719730555
221.0,5.5,961.5,14.303109169006348,0.4022986327230173
222.0,5.5,961.5,14.326048612594604,0.4022986327230173
223.0,5.5,1065.0,14.403888940811157,0.47093260790395436
224.0,5.5,1065.0,14.463681936264038,0.47093260790395436
225.0,8.0,993.0,14.517537832260132,0.423379091432124
226.0,8.0,993.0,14.568403005599976,0.423379091432124
227.0,5.5,1072.0,14.6075439453125,0.475508283697139
228.0,5.5,1072.0,14.63247561454773,0.475508283697139
229.0,5.5,943.0,14.912643671035767,0.38984139526460754
230.0,5.5,943.0,14.942596197128296,0.38984139526460754
231.0,13.5,993.5,15.007407903671265,0.42371236413434504
232.0,13.5,993.5,15.031365156173706,0.42371236413434504
233.0,5.5,903.0,15.103428840637207,0.36271617955700436
234.0,5.5,903.0,15.126368522644043,0.36271617955700436
235.0,5.0,923.0,15.199461698532104,0.376311129938885
236.0,5.0,923.0,15.222400426864624,0.376311129938885
237.0,5.5,936.0,15.312341451644897,0.38511320909634544
238.0,5.5,936.0,15.335280179977417,0.38511320909634544
239.0,5.0,918.5,15.408149480819702,0.3732578778345514
240.0,5.0,918.5,15.4311203956604,0.3732578778345514
241.0,5.0,918.5,15.503963708877563,0.3732578778345514
242.0,5.0,918.5,15.526937246322632,0.3732578778345514
243.0,5.0,1156.5,15.61623740196228,0.5300632721031284
244.0,5.0,1156.5,15.644163370132446,0.5300632721031284
245.0,5.0,1018.0,15.711415529251099,0.4399910266079797
246.0,5.0,1018.0,15.734390020370483,0.4399910266079797
247.0,5.0,936.5,15.811730861663818,0.38545120190523635
248.0,5.0,936.5,15.844671964645386,0.38545120190523635
249.0,5.5,930.0,15.90415334701538,0.38105412075125206
250.0,5.5,930.0,15.92708969116211,0.38105412075125206
251.0,11.0,923.0,16.016727209091187,0.376311129938885
252.0,11.0,923.0,16.042620420455933,0.376311129938885
253.0,5.5,906.5,16.112464427947998,0.3650999305865024
254.0,5.5,906.5,16.13540744781494,0.3650999305865024
255.0,5.5,899.5,16.207829236984253,0.3603304719789793
256.0,5.5,899.5,16.232760906219482,0.3603304719789793
257.0,5.5,884.0,16.308456420898438,0.3497417907199039
258.0,5.5,884.0,16.345349550247192,0.3497417907199039
259.0,5.0,927.0,16.41616201400757,0.3790223828666704
260.0,5.0,927.0,16.439100980758667,0.3790223828666704
261.0,5.5,912.0,16.51199769973755,0.3688418615620895
262.0,5.5,912.0,16.533973693847656,0.3688418615620895
263.0,5.5,888.0,16.6082820892334,0.35247799744931124
264.0,5.5,888.0,16.63321542739868,0.35247799744931124
265.0,5.5,926.0,16.703511238098145,0.3783448125558298
266.0,5.5,926.0,16.726449251174927,0.3783448125558298
267.0,5.0,991.5,16.82024645805359,0.42237902120570175
268.0,5.0,991.5,16.854106187820435,0.42237902120570175
269.0,5.5,901.0,16.92807364463806,0.3613531573804624
270.0,5.5,901.0,16.95001721382141,0.3613531573804624
271.0,5.5,926.0,17.024364948272705,0.3783448125558298
272.0,5.5,926.0,17.04630470275879,0.3783448125558298
273.0,8.0,882.5,17.13574481010437,0.3487150621351485
274.0,8.0,882.5,17.15868306159973,0.3487150621351485
275.0,1119.0,770.0,17.24727201461792,0.2707263630217796
276.0,1119.0,770.0,17.27021074295044,0.2707263630217796
277.0,5.5,1004.5,17.35996961593628,0.4310337095108184
278.0,5.5,1004.5,17.388891458511353,0.4310337095108184
279.0,5.5,938.5,17.45980429649353,0.38680276545810105
280.0,5.5,938.5,17.515647888183594,0.38680276545810105
281.0,1763.5,782.4000244140625,17.56804394721985,0.27941526104384645
282.0,1763.5,782.4000244140625,17.5910165309906,0.27941526104384645
283.0,5.5,767.0,17.68048667907715,0.2686208691894953
